,type,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,Re,Rct,cycle
0,discharge,[2010.       7.      21.      15.       0.      35.093],4,B0047,0,1,00001.csv,1.6743047446975208,,,1
1,impedance,[2010.       7.      21.      16.      53.      45.968],24,B0047,1,2,00002.csv,,0.0560578334388809,0.2009701658445833,1
2,charge,[2010.       7.      21.      17.      25.      40.671],4,B0047,2,3,00003.csv,,,,1
3,impedance,[2010    7   21   20   31    5],24,B0047,3,4,00004.csv,,0.053191858509211,0.1647339991486473,1
4,discharge,[2.0100e+03 7.0000e+00 2.1000e+01 2.1000e+01 2.0000e+00 5.6984e+01],4,B0047,4,5,00005.csv,1.5243662105099025,,,2
5,charge,[2010.       7.      21.      22.      38.      43.484],4,B0047,5,6,00006.csv,,,,2
6,discharge,[2.010e+03 7.000e+00 2.200e+01 1.000e+00 4.000e+01 6.218e+00],4,B0047,6,7,00007.csv,1.5080762969973425,,,3
7,charge,[2010.       7.      22.       3.      14.      53.218],4,B0047,7,8,00008.csv,,,,3
8,discharge,[2010.       7.      22.       6.      16.      21.781],4,B0047,8,9,00009.csv,1.4835577960067696,,,4
9,charge,[2010.       7.      22.       7.      50.      21.625],4,B0047,9,10,00010.csv,,,,4
10,discharge,[2010.       7.      22.      10.      51.      48.203],4,B0047,10,11,00011.csv,1.4671391666146525,,,5
11,charge,[2010.       7.      22.      12.      25.       3.656],4,B0047,11,12,00012.csv,,,,5
12,discharge,[2010.       7.      22.      15.      26.      29.359],4,B0047,12,13,00013.csv,1.448858156982267,,,6
13,impedance,[2010.       7.      22.      17.       3.       7.062],24,B0047,13,14,00014.csv,,0.0596379150105105,0.210398722638349,6
14,charge,[2010.       7.      22.      17.      34.      59.312],4,B0047,14,15,00015.csv,,,,6
15,impedance,[2010.     7.    22.    20.    40.    25.5],24,B0047,15,16,00016.csv,,0.0551250536162427,0.1754882075917004,6
16,discharge,[2010.       7.      23.       9.      59.       8.718],4,B0047,16,17,00017.csv,1.4458534180949325,,,7
17,impedance,[2010.       7.      23.      11.      35.      36.875],24,B0047,17,18,00018.csv,,0.0588784853124444,0.1909568709609001,7
18,charge,[2010.      7.     23.     12.      7.     29.25],4,B0047,18,19,00019.csv,,,,7
19,impedance,[2010.       7.      23.      15.      12.      59.218],24,B0047,19,20,00020.csv,,0.0528128215980842,0.1722515233415132,7
20,discharge,[2010.       7.      23.      15.      44.      51.671],4,B0047,20,21,00021.csv,1.431118266178283,,,8
21,charge,[2010.       7.      23.      17.      17.      36.625],4,B0047,21,22,00022.csv,,,,8
22,discharge,[2010.       7.      23.      20.      19.       2.359],4,B0047,22,23,00023.csv,1.419274551657853,,,9
23,charge,[2010.       7.      23.      21.      50.      50.578],4,B0047,23,24,00024.csv,,,,9
24,discharge,[2010.       7.      24.       0.      52.      14.625],4,B0047,24,25,00025.csv,1.3999974221808271,,,10
25,charge,[2.0100e+03 7.0000e+00 2.4000e+01 2.0000e+00 2.3000e+01 2.1453e+01],4,B0047,25,26,00026.csv,,,,10
26,discharge,[2010.       7.      24.       5.      24.      46.453],4,B0047,26,27,00027.csv,1.3885156686114437,,,11
27,charge,[2010.       7.      24.       6.      55.      11.046],4,B0047,27,28,00028.csv,,,,11
28,discharge,[2010    7   24    9   56   39],4,B0047,28,29,00029.csv,1.3652234669528964,,,12
29,impedance,[2010.       7.      24.      11.      30.      35.656],24,B0047,29,30,00030.csv,,0.057516600514537,0.196364379896874,12
30,charge,[2.010e+03 7.000e+00 2.400e+01 1.200e+01 2.000e+00 2.839e+01],4,B0047,30,31,00031.csv,,,,12
31,impedance,[2010.       7.      24.      15.       7.      54.015],24,B0047,31,32,00032.csv,,0.0535342449436397,0.1777073031474945,12
32,discharge,[2010.       7.      27.      16.      12.       5.718],4,B0047,32,33,00033.csv,1.4060442272970963,,,13
33,impedance,[2010.     7.    27.    17.    47.    10.5],24,B0047,33,34,00034.csv,,0.0620311314352937,0.2008978928903059,13
34,charge,[2010.       7.      27.      18.      19.       3.281],4,B0047,34,35,00035.csv,,,,13
35,impedance,[2010.       7.      27.      21.      24.      31.406],24,B0047,35,36,00036.csv,,0.0585849037401347,0.1841540797551404,13
36,discharge,[2010.       7.      27.      21.      56.      24.312],4,B0047,36,37,00037.csv,1.405754161352578,,,14
